                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.66645,                 1.1314,                0.74788,                0.98177,                0.44638,                0.25069,                0.27965,                0.12399,                0.37401,                0.19938,                0.19833,                0.08453,                 1.7333,                 4.6458,                 2.3792,                 1.6233,             0.00062516,             0.00062516,             0.00062516
                     39,                0.71902,                 1.1824,                0.73856,                 1.0081,                0.44638,                0.25069,                0.27965,                0.12399,                0.37401,                0.19938,                0.19833,                0.08453,                 1.7333,                 4.6458,                 2.3792,                 1.6233,             0.00063749,             0.00063749,             0.00063749
                     40,                0.70692,                  1.145,                0.68776,                0.95534,                0.35303,                0.21275,                0.20843,                0.11816,                 0.2976,                0.22673,                0.19207,                0.09141,                 1.8284,                 4.5839,                 2.4963,                 1.6917,             0.00064962,             0.00064962,             0.00064962
                     41,                0.70831,                 1.1744,                0.67803,                0.95817,                 0.4108,                0.24098,                0.21857,                0.12055,                0.19391,                0.28275,                0.17414,                0.08064,                 1.7492,                 4.5507,                 2.4904,                 1.6719,             0.00066155,             0.00066155,             0.00066155
                     42,                0.67038,                 1.1572,                0.72489,                0.99227,                 0.4108,                0.24098,                0.21857,                0.12055,                0.19391,                0.28275,                0.17414,                0.08064,                 1.7492,                 4.5507,                 2.4904,                 1.6719,             0.00067329,             0.00067329,             0.00067329
                     43,                0.70899,                 1.2068,                0.72224,                 1.0053,                0.61937,                0.26553,                0.22905,                0.11424,                0.20293,                0.28553,                0.16175,                 0.0729,                  1.783,                 4.4469,                 2.4559,                 1.6655,             0.00068482,             0.00068482,             0.00068482
                     44,                0.70195,                  1.145,                  0.729,                0.96853,                0.61937,                0.26553,                0.22905,                0.11424,                0.20293,                0.28553,                0.16175,                 0.0729,                  1.783,                 4.4469,                 2.4559,                 1.6655,             0.00069616,             0.00069616,             0.00069616
                     45,                 0.7105,                 1.2887,                0.73966,                0.98036,                0.50705,                0.22817,                0.20293,                  0.115,                0.49921,                0.22317,                0.18863,                0.08359,                 1.7769,                 4.7173,                 2.3725,                 1.6932,              0.0007073,              0.0007073,              0.0007073
                     46,                0.71502,                 1.1476,                0.73898,                 1.0115,                0.50705,                0.22817,                0.20293,                  0.115,                0.49921,                0.22317,                0.18863,                0.08359,                 1.7769,                 4.7173,                 2.3725,                 1.6932,             0.00071824,             0.00071824,             0.00071824
                     47,                 0.6795,                 1.1583,                0.74308,                0.96421,                0.27958,                0.30988,                0.24636,                0.13161,                0.26706,                0.30025,                0.22188,                0.09401,                 1.7506,                 4.9756,                 2.2554,                 1.6772,             0.00072898,             0.00072898,             0.00072898
